Area,Value,Room,Living,School,Year,Floor
43,200,1,1,0,1980,14
44,240,1,1,1,1980,6
44,240,1,1,1,1980,6
44,240,1,1,1,1980,16
45,350,1,1,1,1980,7
45,350,1,1,1,1980,7
46,255,1,1,1,1980,12
46,255,1,1,1,1980,12
48,150,2,1,0,1980,6
48,175,1,1,0,1980,24
48,175,1,1,0,1980,24
48,175,1,1,0,1980,24
48,175,1,1,0,1980,24
48,185,2,1,1,1980,6
48,200,1,1,0,1980,6
48,235,2,1,1,1980,6
49,135,2,1,0,1980,6
49,288,2,1,1,1980,6
50,210,2,1,0,1980,5
50,216,2,1,0,1980,6
51,177,2,1,1,1980,5
51,295,2,1,1,1980,6
51,298,2,1,1,1980,5
51,298,2,1,1,1980,5
52,140,2,1,1,1980,6
52,330,2,1,1,1980,6
53,340,2,1,1,1980,6
53,340,2,1,1,1980,6
54,155,2,1,0,1980,6
54,155,2,1,0,1980,6
54,195,2,1,0,1980,6
54,195,2,1,1,1980,6
55,165,2,1,0,1980,5
55,280,2,1,1,1980,6
55,320,2,1,1,1980,1
55,400,2,1,1,1980,12
55,400,2,1,1,1980,12
56,150,2,1,1,1980,6
56,310,3,1,1,1980,6
56,310,3,1,1,1980,6
57,225,2,1,1,1980,6
57,305,2,1,1,1980,6
57,330,2,1,1,1980,6
57,333,3,1,1,1980,6
57,333,3,1,1,1980,6
58,143,2,1,1,1980,6
58,143,2,1,1,1980,6
58,165,2,1,1,1980,6
58,165,2,1,1,1980,6
58,165,2,1,1,1980,6
58,165,2,1,1,1980,6
58,232,2,1,0,1980,16
58,240,2,1,1,1980,6
58,260,1,1,0,1980,17
58,265,2,1,0,1980,4
58,265,2,1,0,1980,4
58,300,2,1,1,1980,6
58,300,2,1,1,1980,6
59,330,2,1,1,1980,14
59,330,2,1,1,1980,14
60,240,2,1,1,1980,16
60,270,2,1,1,1980,6
60,270,2,1,1,1980,6
60,295,2,1,0,1980,6
60,295,2,1,0,1980,6
60,320,2,1,0,1980,6
60,330,2,1,1,1980,6
60,350,2,1,0,1980,6
60,350,2,1,0,1980,6
60,360,2,1,0,1980,16
61,360,2,1,1,1980,6
61,380,2,1,1,1980,16
61,385,2,1,1,1980,16
62,160,2,1,0,1980,6
62,220,2,0,1,1980,22
62,310,3,1,1,1980,6
62,315,2,1,1,1980,18
62,315,2,1,1,1980,18
62,405,3,1,1,1980,6
62,420,2,1,1,1980,16
62,430,2,1,0,1980,16
62,430,2,1,0,1980,16
62,430,2,1,0,1980,16
62,430,2,1,0,1980,16
62,430,2,1,0,1980,16
62,430,2,1,1,1980,16
63,215,3,1,0,1980,6
63,360,2,1,1,1980,14
63,360,2,1,1,1980,14
63,360,2,1,1,1980,14
63,440,2,1,1,1980,16
63,440,2,1,1,1980,16
64,245,2,1,1,1980,6
64,245,2,1,1,1980,6
64,245,2,1,1,1980,6
64,245,2,1,1,1980,6
64,290,2,1,0,1980,6
64,300,2,1,0,1980,14
65,235,2,1,0,1980,6
65,235,2,1,0,1980,6
65,490,2,1,1,1980,16
65,490,2,1,1,1980,16
65,490,2,1,1,1980,16
66,199,2,1,0,1980,6
66,199,2,1,0,1980,6
66,199,2,1,0,1980,6
66,199,2,1,0,1980,6
66,260,2,1,0,1980,6
66,260,2,1,0,1980,6
66,260,2,1,0,1980,6
66,260,2,1,1,1980,16
66,330,2,1,1,1980,5
66,330,2,1,1,1980,5
66,515,2,1,1,1980,4
68,300,3,1,0,1980,14
68,435,3,1,1,1980,5
69,490,2,1,1,1980,12
69,490,2,1,1,1980,12
69,550,2,1,0,1980,12
70,330,3,1,1,1980,15
70,360,3,1,1,1980,6
72,365,2,1,1,1980,6
72,460,3,1,1,1980,6
73,238,3,1,0,1980,6
74,347,3,1,1,1980,5
76,320,3,1,0,1980,6
76,355,3,1,1,1980,16
76,385,3,1,1,1980,14
78,630,3,1,1,1980,6
80,515,3,1,1,1980,22
81,260,2,2,0,1980,16
81,260,2,2,0,1980,16
84,550,3,1,1,1980,22
87,525,3,1,1,1980,6
91,275,2,1,0,1980,14
95,210,3,1,0,1980,5
95,210,3,1,0,1980,5
95,210,3,1,0,1980,5
137,610,2,2,0,1980,19
42,180,1,1,0,1981,6
44,183,1,1,0,1981,12
44,235,2,1,1,1981,5
44,240,1,1,1,1981,15
46,183,1,1,1,1981,16
47,272,2,1,1,1981,6
47,272,2,1,1,1981,6
51,240,2,1,1,1981,6
52,193,2,1,0,1981,6
52,230,2,1,1,1981,5
52,230,2,1,1,1981,5
53,270,2,1,1,1981,5
54,192,2,1,1,1981,6
54,192,2,1,1,1981,6
54,270,2,1,1,1981,5
55,150,2,1,0,1981,6
55,228,2,1,1,1981,5
55,260,2,1,1,1981,6
55,335,2,1,1,1981,13
56,370,2,1,1,1981,6
56,404,2,1,0,1981,6
56,404,2,1,0,1981,6
56,404,2,1,0,1981,6
57,128,2,1,1,1981,5
57,128,2,1,1,1981,5
57,140,2,1,0,1981,5
57,270,2,1,1,1981,6
57,270,2,1,1,1981,6
57,295,2,1,0,1981,5
57,310,2,1,0,1981,5
58,218,2,1,1,1981,6
58,218,2,1,1,1981,6
59,150,2,1,0,1981,5
60,165,2,1,0,1981,6
60,165,2,1,0,1981,6
60,285,2,1,1,1981,6
62,215,3,1,0,1981,6
62,309,2,1,1,1981,5
62,309,2,1,1,1981,5
62,309,2,1,1,1981,5
63,270,3,1,1,1981,10
63,415,2,1,1,1981,6
63,430,3,1,1,1981,6
65,389,3,1,1,1981,6
65,389,3,1,1,1981,6
73,263,3,1,0,1981,6
80,336,3,1,0,1981,6
80,415,3,1,1,1981,5
81,380,3,1,1,1981,6
179,950,4,1,1,1981,19
179,950,4,1,1,1981,19
179,950,4,1,1,1981,19
38,145,1,1,0,1982,15
38,145,1,1,0,1982,15
38,145,1,1,1,1982,6
40,249,1,1,1,1982,6
41,175,1,1,1,1982,6
42,255,1,1,0,1982,16
43,220,1,1,1,1982,12
43,220,1,1,1,1982,12
43,300,1,1,1,1982,6
43,370,1,1,0,1982,6
44,140,1,1,1,1982,16
44,140,1,1,1,1982,16
50,150,2,1,0,1982,6
50,152,2,1,0,1982,6
50,152,2,1,0,1982,6
50,160,2,1,1,1982,6
50,170,2,1,0,1982,6
50,170,2,1,0,1982,6
50,170,2,1,0,1982,6
50,170,2,1,0,1982,6
50,170,2,1,0,1982,6
50,170,2,1,0,1982,15
50,170,2,1,0,1982,15
50,185,2,0,0,1982,16
50,360,2,1,1,1982,6
51,150,2,1,0,1982,5
52,185,2,1,0,1982,5
53,167,2,1,1,1982,6
53,167,2,1,1,1982,6
53,185,2,1,0,1982,6
53,185,2,1,0,1982,6
53,220,2,1,0,1982,6
53,220,2,1,0,1982,6
54,135,2,1,1,1982,6
54,135,2,1,1,1982,6
54,135,2,1,1,1982,6
54,200,2,1,1,1982,6
54,200,2,1,1,1982,6
54,280,2,1,1,1982,20
54,280,2,1,1,1982,20
54,280,2,1,1,1982,20
54,280,2,1,1,1982,20
55,160,2,1,1,1982,13
55,215,2,1,0,1982,6
55,250,2,1,1,1982,6
56,140,2,1,1,1982,6
56,200,2,1,1,1982,6
56,235,2,1,0,1982,6
56,235,2,1,0,1982,6
56,295,2,1,0,1982,6
56,320,2,1,1,1982,6
56,320,2,1,1,1982,6
56,320,2,1,1,1982,6
57,175,2,1,0,1982,15
57,185,2,1,1,1982,16
57,185,2,1,1,1982,16
57,215,2,1,1,1982,6
58,128,2,1,0,1982,6
58,270,2,1,1,1982,6
58,270,2,1,1,1982,6
58,270,2,1,1,1982,6
58,340,2,1,1,1982,6
58,425,2,1,1,1982,6
59,175,2,1,0,1982,6
60,175,3,1,0,1982,6
60,190,2,1,1,1982,16
60,219,1,1,0,1982,24
60,219,1,1,0,1982,24
60,255,2,1,0,1982,6
60,460,2,1,1,1982,6
60,460,2,1,1,1982,6
61,260,2,1,1,1982,6
61,273,2,1,0,1982,5
62,186,2,1,0,1982,7
62,186,2,1,0,1982,7
62,186,2,1,0,1982,7
63,185,2,1,1,1982,5
64,210,1,1,0,1982,24
67,236,3,1,1,1982,6
67,270,2,1,0,1982,16
67,360,3,1,1,1982,6
67,360,3,1,1,1982,6
68,315,3,1,0,1982,6
68,315,3,1,0,1982,6
68,315,3,1,0,1982,6
68,315,3,1,0,1982,6
68,315,3,1,0,1982,6
69,269,3,1,1,1982,15
69,540,2,1,1,1982,12
69,540,2,1,1,1982,12
69,540,2,1,1,1982,12
71,276,3,1,1,1982,14
71,320,2,1,1,1982,16
72,300,3,1,1,1982,16
72,300,3,1,1,1982,16
76,560,3,1,1,1982,6
78,322,3,1,0,1982,6
82,400,3,1,0,1982,6
84,500,2,2,0,1982,12
93,330,2,2,0,1982,24
94,220,2,1,1,1982,6
94,220,2,2,0,1982,6
94,220,2,2,0,1982,6
119,268,3,2,1,1982,6
37,150,1,1,0,1983,6
37,260,1,1,1,1983,6
37,260,1,1,1,1983,6
39,218,2,1,1,1983,5
41,120,1,1,1,1983,6
41,148,1,1,1,1983,14
42,241,1,1,1,1983,6
42,241,1,1,1,1983,6
42,241,1,1,1,1983,6
50,180,2,1,0,1983,6
50,235,2,1,1,1983,6
50,235,2,1,1,1983,6
51,350,2,1,1,1983,6
52,112,2,1,1,1983,5
52,112,2,1,1,1983,5
52,160,2,1,0,1983,5
52,160,2,1,0,1983,5
52,160,2,1,0,1983,5
52,294,1,1,1,1983,20
53,186,2,1,0,1983,6
53,188,2,1,0,1983,5
53,248,2,1,1,1983,6
53,248,2,1,1,1983,6
54,190,2,1,0,1983,5
54,260,2,1,1,1983,12
54,275,2,1,1,1983,6
54,275,2,1,1,1983,6
54,275,2,1,1,1983,6
55,190,2,1,1,1983,6
55,245,2,1,0,1983,6
55,305,2,1,1,1983,6
55,370,2,1,1,1983,6
56,165,2,1,1,1983,6
57,155,2,1,1,1983,6
57,155,2,1,1,1983,6
57,155,2,1,1,1983,6
57,155,2,1,1,1983,6
57,200,2,1,0,1983,6
57,200,2,1,0,1983,6
57,223,3,1,0,1983,6
57,223,3,1,0,1983,6
57,285,2,1,1,1983,5
58,168,3,1,0,1983,6
58,186,2,1,0,1983,6
58,186,2,1,0,1983,6
58,206,2,1,1,1983,6
58,260,2,1,0,1983,6
58,330,2,1,0,1983,6
58,340,2,1,1,1983,6
58,340,2,1,1,1983,6
58,340,2,1,1,1983,6
58,340,2,1,1,1983,6
58,350,2,1,1,1983,6
59,148,2,1,1,1983,6
59,148,2,1,1,1983,6
59,210,3,1,0,1983,6
59,460,2,1,1,1983,6
59,460,2,1,1,1983,6
60,148,2,1,0,1983,6
60,148,2,1,0,1983,6
60,148,2,1,0,1983,6
60,190,2,1,0,1983,14
60,240,2,1,0,1983,6
61,189,2,1,0,1983,6
61,189,2,1,0,1983,6
61,192,2,1,0,1983,6
61,192,2,1,0,1983,6
61,350,3,1,1,1983,6
61,350,3,1,1,1983,6
62,140,2,1,0,1983,6
62,168,3,1,1,1983,6
62,168,3,1,1,1983,6
62,175,2,1,1,1983,16
62,185,2,1,0,1983,16
62,185,2,1,0,1983,16
62,190,2,1,0,1983,14
62,190,3,1,0,1983,6
62,250,2,1,0,1983,6
62,250,2,1,0,1983,6
62,365,2,1,1,1983,6
62,365,2,1,1,1983,6
63,190,2,1,0,1983,6
63,190,2,1,0,1983,6
63,235,2,1,0,1983,6
63,315,2,1,1,1983,6
63,360,2,1,1,1983,5
63,360,2,1,1,1983,5
63,360,2,1,1,1983,5
63,360,2,1,1,1983,5
64,260,2,1,0,1983,12
65,210,2,1,0,1983,14
65,360,2,1,1,1983,24
66,270,3,1,1,1983,6
66,270,3,1,1,1983,6
66,325,2,1,1,1983,19
68,190,2,1,1,1983,6
68,190,2,1,1,1983,6
68,190,2,1,1,1983,6
68,190,2,1,1,1983,6
68,190,2,1,1,1983,6
68,245,3,1,1,1983,6
68,245,3,1,1,1983,6
68,360,2,1,1,1983,16
68,360,2,1,1,1983,16
69,260,3,1,1,1983,14
69,260,3,1,1,1983,14
69,260,3,1,1,1983,14
69,310,3,1,0,1983,6
70,420,2,1,0,1983,12
72,650,3,1,1,1983,6
77,249,3,1,0,1983,14
77,435,3,1,1,1983,20
81,620,3,1,1,1983,5
81,620,3,1,1,1983,5
88,440,3,1,1,1983,12
88,440,3,1,1,1983,12
88,440,3,1,1,1983,12
88,440,3,1,1,1983,12
101,665,3,1,1,1983,6
101,665,3,1,1,1983,6
101,665,3,1,1,1983,6
118,620,4,1,1,1983,6
135,868,4,2,0,1983,7
39,268,1,1,1,1984,5
39,268,1,1,1,1984,5
39,268,1,1,1,1984,5
40,145,1,1,1,1984,6
40,145,1,1,1,1984,6
40,145,1,1,1,1984,6
46,249,1,1,1,1984,12
47,310,2,1,1,1984,6
47,310,2,1,1,1984,6
48,110,2,1,1,1984,5
48,245,1,1,0,1984,14
50,180,2,1,1,1984,6
50,180,2,1,1,1984,6
52,145,2,1,0,1984,5
53,195,2,1,1,1984,6
54,155,2,1,0,1984,6
54,155,2,1,0,1984,6
54,260,2,1,1,1984,5
54,265,3,1,1,1984,5
54,320,1,1,0,1984,6
55,135,2,1,1,1984,6
55,160,2,1,0,1984,6
55,160,2,1,0,1984,6
55,260,2,1,0,1984,6
55,350,2,1,1,1984,6
56,280,2,1,1,1984,13
57,175,3,1,0,1984,6
57,175,3,1,0,1984,6
57,262,2,1,0,1984,6
58,185,2,1,0,1984,6
58,195,2,1,1,1984,6
58,195,2,1,1,1984,6
58,200,2,1,0,1984,6
58,213,2,1,1,1984,6
58,236,2,1,0,1984,6
58,236,2,1,0,1984,6
58,310,2,1,1,1984,6
58,335,2,1,1,1984,6
58,335,2,1,1,1984,6
58,335,2,1,1,1984,6
59,349,2,1,1,1984,16
60,140,2,1,0,1984,6
60,400,3,1,0,1984,6
60,400,3,1,0,1984,6
61,185,2,1,1,1984,6
61,215,2,1,0,1984,6
61,219,2,1,1,1984,6
61,245,2,1,1,1984,6
61,308,2,1,1,1984,17
61,335,2,1,1,1984,6
61,490,2,1,1,1984,5
62,198,2,1,0,1984,6
62,360,2,1,1,1984,21
62,440,2,1,1,1984,16
63,215,2,1,1,1984,6
63,275,2,1,1,1984,21
63,330,2,1,1,1984,21
64,155,3,1,0,1984,6
64,255,2,1,1,1984,11
64,340,2,1,1,1984,6
64,340,2,1,1,1984,6
65,280,2,1,1,1984,16
65,280,2,1,1,1984,16
65,350,2,1,1,1984,16
69,220,3,1,0,1984,6
69,240,3,1,1,1984,6
69,255,2,1,0,1984,6
69,255,2,1,0,1984,6
69,255,2,1,0,1984,6
69,290,2,1,0,1984,14
69,290,2,1,0,1984,14
69,290,2,1,0,1984,14
69,300,2,1,0,1984,17
69,300,2,1,0,1984,17
69,300,2,1,0,1984,17
69,300,2,1,0,1984,17
70,335,3,1,1,1984,16
70,335,3,1,1,1984,16
70,335,3,1,1,1984,16
70,335,3,1,1,1984,16
71,175,3,1,1,1984,6
74,215,3,1,0,1984,16
76,266,3,1,1,1984,6
76,535,3,1,1,1984,6
78,350,3,1,1,1984,6
78,350,3,1,1,1984,6
78,350,3,1,1,1984,6
78,350,3,1,1,1984,6
78,390,3,1,1,1984,6
78,390,3,1,1,1984,6
78,390,3,1,1,1984,6
78,410,3,1,1,1984,21
78,410,3,1,1,1984,21
80,460,2,1,1,1984,18
80,480,2,2,1,1984,6
80,480,2,2,1,1984,6
80,480,2,2,1,1984,6
88,378,3,1,1,1984,6
100,600,3,1,0,1984,5
14,110,1,0,0,1985,3
14,110,1,0,0,1985,3
14,110,1,0,0,1985,3
37,198,1,1,1,1985,6
37,250,1,1,1,1985,18
38,216,1,1,1,1985,11
38,255,1,1,1,1985,6
40,238,1,1,1,1985,12
41,150,1,1,1,1985,6
41,170,1,1,1,1985,6
41,248,1,1,0,1985,7
42,188,1,1,1,1985,17
42,188,1,1,1,1985,17
42,198,1,1,0,1985,6
42,198,1,1,0,1985,6
42,198,1,1,0,1985,6
42,198,1,1,1,1985,17
44,185,1,1,0,1985,15
44,185,1,1,0,1985,15
46,300,1,1,1,1985,15
47,320,1,1,1,1985,18
49,201,2,1,0,1985,6
50,135,2,1,1,1985,6
50,190,2,1,1,1985,5
50,190,2,1,1,1985,5
50,215,2,1,0,1985,6
51,195,2,1,0,1985,16
51,290,2,1,1,1985,6
52,179,2,1,0,1985,6
52,179,2,1,0,1985,6
53,305,2,1,1,1985,6
54,156,2,1,0,1985,6
54,156,2,1,0,1985,6
54,173,2,1,0,1985,6
54,175,2,1,0,1985,6
54,175,2,1,0,1985,6
54,285,2,1,0,1985,6
54,285,2,1,0,1985,6
54,300,2,1,1,1985,6
54,356,2,1,1,1985,16
54,375,2,1,0,1985,6
54,375,2,1,0,1985,6
55,116,2,1,1,1985,6
55,116,2,1,1,1985,6
55,195,2,1,1,1985,6
56,183,2,1,1,1985,6
56,240,2,1,1,1985,16
57,140,2,1,0,1985,5
57,162,2,1,1,1985,6
57,162,2,1,1,1985,6
57,200,2,1,1,1985,6
57,200,2,1,1,1985,6
57,202,2,1,0,1985,16
57,214,2,1,0,1985,6
57,214,2,1,0,1985,6
57,242,2,1,0,1985,6
57,390,2,1,1,1985,6
58,170,2,1,1,1985,6
58,200,2,1,1,1985,6
58,220,2,1,1,1985,6
58,220,2,1,1,1985,6
58,230,2,1,1,1985,6
58,248,2,1,1,1985,14
58,255,2,1,1,1985,7
58,280,2,1,1,1985,6
58,310,2,1,1,1985,6
59,194,2,1,0,1985,13
59,230,2,1,1,1985,6
59,279,2,1,1,1985,6
59,285,2,1,1,1985,16
59,285,2,1,1,1985,16
59,286,2,1,1,1985,6
59,286,2,1,1,1985,6
59,315,2,1,1,1985,16
60,220,2,1,1,1985,6
60,235,2,1,0,1985,6
60,260,2,1,1,1985,6
60,260,2,1,1,1985,6
60,290,2,1,1,1985,16
60,298,3,1,1,1985,6
60,298,3,1,1,1985,6
60,300,2,1,0,1985,12
60,300,2,1,0,1985,12
60,300,2,1,0,1985,12
60,325,2,1,1,1985,16
60,328,2,1,0,1985,6
60,330,3,1,1,1985,6
60,350,2,1,1,1985,6
60,396,2,1,0,1985,6
61,140,2,1,1,1985,19
61,182,2,1,1,1985,6
61,182,2,1,1,1985,6
61,220,2,1,1,1985,18
61,230,2,1,0,1985,6
61,245,2,1,0,1985,16
61,320,2,1,1,1985,6
61,320,2,1,1,1985,6
61,420,3,1,1,1985,6
62,300,2,1,1,1985,16
63,195,2,1,0,1985,16
63,300,2,1,0,1985,18
63,300,2,1,0,1985,18
63,310,3,1,0,1985,5
63,315,2,1,1,1985,6
63,315,2,1,1,1985,6
64,235,3,1,0,1985,13
64,290,3,1,1,1985,6
64,328,2,1,0,1985,6
65,215,2,1,1,1985,6
66,270,2,1,0,1985,16
66,390,2,1,1,1985,5
68,330,3,1,1,1985,6
68,330,3,1,1,1985,6
68,430,2,1,0,1985,6
68,430,2,1,0,1985,6
68,430,2,1,0,1985,6
69,160,3,1,0,1985,6
69,320,3,1,1,1985,6
70,295,2,1,1,1985,16
70,326,3,1,1,1985,6
70,326,3,1,1,1985,6
71,320,2,1,1,1985,6
71,390,3,1,1,1985,6
73,190,2,1,1,1985,19
73,190,2,1,1,1985,19
73,190,2,1,1,1985,19
73,260,3,1,0,1985,6
74,425,2,1,1,1985,16
74,425,2,1,1,1985,16
75,320,3,1,1,1985,12
75,350,3,1,0,1985,6
75,350,3,1,0,1985,6
75,350,3,1,0,1985,6
76,360,3,1,1,1985,14
76,360,3,1,1,1985,14
76,360,3,1,1,1985,14
76,440,3,1,1,1985,6
76,440,3,1,1,1985,6
76,460,3,1,1,1985,6
77,165,2,1,1,1985,6
84,400,3,1,1,1985,15
85,258,3,1,1,1985,18
87,380,3,1,0,1985,18
88,540,3,1,1,1985,4
99,498,3,1,1,1985,18
111,699,3,2,1,1985,11
111,699,3,2,1,1985,11
126,749,4,2,1,1985,20
126,750,3,1,1,1985,20
126,750,3,1,1,1985,20
39,145,1,0,0,1986,14
40,195,1,1,0,1986,6
41,135,1,1,1,1986,6
41,205,1,1,1,1986,6
41,205,1,1,1,1986,6
41,228,1,1,1,1986,6
41,230,1,1,1,1986,6
42,140,1,1,0,1986,6
43,270,1,1,0,1986,11
43,270,1,1,0,1986,11
43,270,1,1,0,1986,11
43,270,1,1,0,1986,11
44,155,1,1,0,1986,16
44,155,1,1,0,1986,16
44,170,1,1,1,1986,12
45,194,1,1,1,1986,14
45,194,1,1,1,1986,14
45,194,1,1,1,1986,14
46,195,2,1,0,1986,6
47,169,1,1,0,1986,24
47,200,1,1,1,1986,6
47,205,1,1,1,1986,14
47,210,1,1,1,1986,14
47,210,1,1,1,1986,14
49,295,1,1,1,1986,17
49,295,1,1,1,1986,17
49,295,1,1,1,1986,17
49,295,1,1,1,1986,17
50,200,1,1,0,1986,18
